"","rowid","pl_controvflag","pl_pnum","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_orbsmaxlim","pl_radj","pl_radjerr1","pl_radjerr2","pl_radjlim","pl_ttvflag","pl_kepflag","pl_k2flag","pl_nnotes","ra","dec","st_dist","st_disterr1","st_disterr2","st_distlim","st_optmag","st_optmaglim","gaia_gmag","gaia_gmaglim","st_teff","st_tefferr1","st_tefferr2","st_tefflim","st_mass","st_masserr1","st_masserr2","st_masslim","st_rad","st_raderr1","st_raderr2","st_radlim","pl_tranflag","pl_rvflag","pl_imgflag","pl_astflag","pl_omflag","pl_cbflag","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim","pl_rads","pl_radserr1","pl_radserr2","pl_radslim","pl_trandur","pl_trandurerr1","pl_trandurerr2","pl_trandurlim","pl_tranmid","pl_tranmiderr1","pl_tranmiderr2","pl_tranmidlim","pl_ratrorlim","pl_disc","pl_status","pl_mnum","pl_st_npar","pl_st_nref","st_rah","st_glon","st_glat","st_elon","st_elat","st_plxlim","gaia_plx","gaia_plxerr1","gaia_plxerr2","gaia_plxlim","gaia_dist","gaia_disterr1","gaia_disterr2","gaia_distlim","st_pmra","st_pmraerr","st_pmralim","st_pmdec","st_pmdecerr","st_pmdeclim","st_pm","st_pmerr","st_pmlim","gaia_pmra","gaia_pmraerr","gaia_pmralim","gaia_pmdec","gaia_pmdecerr","gaia_pmdeclim","gaia_pm","gaia_pmerr","gaia_pmlim","st_logg","st_loggerr1","st_loggerr2","st_logglim","st_metfe","st_metfeerr1","st_metfeerr2","st_metfelim","st_nts","st_nplc","st_nglc","st_nrvc","st_naxa","st_nimg","st_nspec","st_j","st_jerr","st_jlim","st_h","st_herr","st_hlim","st_k","st_kerr","st_klim","st_wise1","st_wise1err","st_wise1lim","st_wise2","st_wise2err","st_wise2lim","st_wise3","st_wise3err","st_wise3lim","st_wise4","st_wise4lim","st_photn","st_jmh2","st_jmh2err","st_jmh2lim","st_hmk2","st_hmk2err","st_hmk2lim","st_jmk2","st_jmk2err","st_jmk2lim","st_colorn"
"1",1,0,1,326.03,0.32,-0.32,0,0,0.56,2.346,-2.9,0,0,0,0,0,185.179276,17.792868,93.37,1.92,-1.92,0,4.74,0,4.372,0,4742,100,-100,0,2.7,0.3,-0.3,0,19,2,-2,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.675962,7e-05,-0.002896,NA,2454576.2156,0.0135,-0.00278,NA,NA,2007,3,0,27,19,12.34528503,264.140892,78.280522,177.422388,18.333765,0,10.71,0.22,-0.22,0,93.37,1.92,-1.92,0,-109.2,0.3,0,88.2,0.3,0,140.4,0.3,0,-109.2,0.3,0,88.2,0.3,0,140.4,0.3,0,2.31,0.1,-0.1,0,-0.35,0.09,-0.09,0,3,0,1,2,0,3,0,2.943,0.334,0,2.484,0.268,0,2.282,0.346,0,0.639,0.507,-1,0.732,0.319,-1,2.358,0.01,0,2.27,0,20,0.459,0.428,0,0.202,0.438,0,0.661,0.481,0,7
"2",2,0,1,516.21997,3.2,-3.2,0,0,0.867,4.87,-0.013,0,0,0,0,0,229.274536,71.823898,125.72,1.97,-1.97,0,5.016,0,4.5,0,4213,46,-46,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.958,0.002167,-0.0013,0,2458210.8398,0.00342,-4.6e-05,0,0,2009,3,0,35,18,15.28496908,108.718982,41.044516,141.647144,74.958184,0,7.95,0.12,-0.12,0,125.72,1.97,-1.97,0,3.4,0.2,0,10.1,0.2,0,10.7,0.2,0,3.4,0.2,0,10.1,0.2,0,10.7,0.2,0,1.93,0.07,-0.07,0,-0.02,0.12,-0.12,0,2,0,1,1,0,3,0,2.876,0.23,0,2.091,0.194,0,1.939,0.27,0,-0.29,0.492,-1,0.143,0.408,-1,1.894,0.012,0,1.787,0,17,0.785,0.301,0,0.152,0.332,0,0.937,0.355,0,5
"3",3,0,1,185.84,0.23,-0.23,0,0,0.995,2.7,-0.124,0,0,0,0,0,352.822571,39.236198,75.59,0.71,-0.71,0,5.227,0,4.872,0,4813,20,-20,0,2.2,0.1,-0.2,0,11,1,-1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6542,0.0019,-0.0022,NA,2454743.0419,0.00969,-0.00472,NA,NA,2008,3,0,30,22,23.52150472,106.411558,-21.05061,11.962116,38.229937,0,13.23,0.12,-0.12,0,75.59,0.71,-0.71,0,287.3,0.2,0,-83.8,0.1,0,299.3,0.2,0,287.3,0.2,0,-83.8,0.1,0,299.3,0.2,0,2.63,0.07,-0.07,0,-0.24,0.03,-0.03,0,2,0,1,1,0,3,0,3.019,0.18,0,2.608,0.184,0,2.331,0.24,0,1.592,0.481,-1,2.545,0.524,0,2.719,0.016,0,2.719,0,21,0.411,0.257,0,0.277,0.302,0,0.688,0.3,0,7
"4",4,0,1,1773.40002,2.5,-2.5,0,0,0.178,0.028,-0.029,0,0,0,0,0,242.601303,43.817646,17.94,0.01,-0.01,0,6.61,0,6.379,0,5338,25,-25,0,0.9,0.04,-0.04,0,0.93,0.01,-0.01,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.55875,0.003879,-0.003,0,2454923.9138,0.00381,-0.00698,0,0,2002,3,0,79,37,16.17342021,69.170376,46.944999,223.248728,62.879798,0,55.74,0.02,-0.02,0,17.94,0.01,-0.01,0,132,0,0,-296.5,0,0,324.5,0,0,132,0,0,-296.5,0,0,324.5,0,0,4.45,0.02,-0.02,0,0.41,0.2,-0.163,0,5,0,1,4,0,4,1,5.158,0.029,0,4.803,0.016,0,4.714,0.016,0,4.676,0.173,0,4.543,0.086,0,4.721,0.014,0,4.674,0,25,0.355,0.033,0,0.089,0.023,0,0.444,0.033,0,9
"5",5,0,1,798.5,1,-1,0,0,1.13,0.017,-0.008,0,0,0,0,0,295.466553,50.517525,21.41,0.23,-0.23,0,6.25,0,6.057,0,5750,8,-8,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.3655,0.0044583,-0.0034,0,2454743.0419,0.00349,-0.00318,0,0,1996,3,0,77,40,19.69777018,83.33646,13.204352,321.21805,69.468372,0,47.28,0.02,-0.02,0,21.15,0.01,-0.01,0,-134.8,0,0,-162.5,0,0,211.1,0,0,-134.8,0,0,-162.5,0,0,211.1,0,0,4.36,0.01,-0.01,0,0.06,0.08,-0.08,0,5,0,1,4,0,4,3,4.993,0.037,0,4.695,0.036,0,4.651,0.016,0,4.773,0.236,0,4.568,0.106,0,4.926,0.033,0,4.713,0,28,0.298,0.052,0,0.044,0.039,0,0.342,0.04,0,17
"6",6,0,1,993.3,3.2,-3.2,0,0,0.93,0.07,-0.07,0,0,0,0,0,314.608063,10.839286,76.38,0.62,-0.62,0,5.506,0,5.244,0,4979,18,-18,0,2.3,0.08,NA,0,8.5,0.35,-0.51,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.958,0.003654,-0.00612,NA,2454573.6299,0.00588,-0.00679,NA,NA,2008,3,0,28,20,20.97387085,58.691434,-21.974824,320.591213,26.786858,0,13.09,0.11,-0.11,0,76.38,0.62,-0.62,0,-50,0.1,0,-34.2,0.2,0,60.6,0.2,0,-50,0.1,0,-34.2,0.2,0,60.6,0.2,0,2.82,0.06,-0.06,0,-0.052,0.023,-0.023,0,2,0,1,1,0,3,0,4.032,0.236,0,3.44,0.186,0,3.366,0.204,0,3.37,0.373,0,2.931,0.416,0,3.355,0.013,0,3.308,0,18,0.592,0.3,0,0.074,0.276,0,0.666,0.312,0,5
"7",7,0,1,18000,NA,NA,0,0,1.35,0.21,-0.21,0,0,0,0,0,242.376268,-21.083036,145,14,-14,0,12.85,NA,12.057,0,4060,300,-200,0,0.85,0.2,-0.1,0,0.78,0.5,-0.35,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.503,0.003462,-0.0095833,NA,2456285.90993,0.0105,-0.00327,NA,NA,2008,3,0,28,8,16.15841787,352.89056,22.030427,244.365684,-0.06841,0,7.16,0.07,-0.07,0,139.67,1.32,-1.32,0,-10.3,0.1,0,-23.2,0.1,0,25.4,0.1,0,-10.3,0.1,0,-23.2,0.1,0,25.4,0.1,0,4.69,0.25,-0.28,NA,0,0.052,-0.05,NA,0,0,0,0,0,3,0,9.82,0.027,0,9.121,0.023,0,8.916,0.021,0,8.794,0.022,0,8.79,0.02,0,8.684,0.028,0,8.531,0,8,0.699,0.035,0,0.205,0.031,0,0.904,0.034,0,3
"8",8,0,1,30.3506,0.0078,-0.0077,0,0,0.96,2.7,-0.013,0,0,0,0,0,217.157547,49.844852,96.25,0.64,-0.64,0,5.58,0,5.305,0,4893,15,-15,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.3128,0.0035,-0.01,0,2455914.1628,0.00221,-0.00291,0,0,2018,3,0,17,14,14.4771698,90.162223,60.643666,185.925162,58.888907,0,10.39,0.07,-0.07,0,96.25,0.64,-0.64,0,-304.1,0.1,0,-46.8,0.1,0,307.6,0.1,0,-304.1,0.1,0,-46.8,0.1,0,307.6,0.1,0,2.42,0.1,-0.1,0,-0.77,0.03,-0.03,0,1,0,1,0,0,3,0,3.845,0.24,0,3.34,0.19,0,3.159,0.28,0,12.447,0.088,0,12.749,0.048,0,12.527,0.499,-1,8.951,-1,14,0.505,0.306,0,0.181,0.338,0,0.686,0.369,0,6
"9",9,0,2,452.8,2.1,-4.5,0,0,0.17,0.021,-0.016,0,0,0,0,0,155.86821,-0.902244,72.21,0.68,-0.68,0,6.441,0,6.198,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999654,0.0033,-0.0053,NA,2455733.013,6e-04,-0.000831,NA,NA,2010,3,0,21,17,10.39121399,245.085309,44.715734,157.99359,-10.198148,0,13.85,0.13,-0.13,0,72.21,0.68,-0.68,0,65.2,0.2,0,-36.3,0.2,0,74.6,0.2,0,65.2,0.2,0,-36.3,0.2,0,74.6,0.2,0,3.5,0.1,-0.1,0,-0.03,0.04,-0.04,0,3,0,1,2,0,3,1,5.292,0.338,0,4.486,0.076,0,4.285,0.016,0,4.094,0.327,0,3.598,0.156,0,4.254,0.015,0,4.201,0,17,0.806,0.346,0,0.201,0.078,0,1.007,0.338,0,8
"10",10,0,2,883,32.4,-13.8,0,0,0.17,0.032,-0.021,0,0,0,0,0,155.86821,-0.902244,72.21,0.68,-0.68,0,6.441,0,6.198,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7915833,0.0045,-0.0045833,NA,2455392.31659,9.7e-05,-0.00126,NA,NA,2010,3,0,21,17,10.39121399,245.085309,44.715734,157.99359,-10.198148,0,13.85,0.13,-0.13,0,72.21,0.68,-0.68,0,65.2,0.2,0,-36.3,0.2,0,74.6,0.2,0,65.2,0.2,0,-36.3,0.2,0,74.6,0.2,0,3.5,0.1,-0.1,0,-0.03,0.04,-0.04,0,3,0,1,2,0,3,1,5.292,0.338,0,4.486,0.076,0,4.285,0.016,0,4.094,0.327,0,3.598,0.156,0,4.254,0.015,0,4.201,0,17,0.806,0.346,0,0.201,0.078,0,1.007,0.338,0,8
