pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_lum,st_logg,ESI,isHabitable
Teegarden's Star b,1,2,4.91,0.0252,1.02,1.05,2904,0.11,0.09,-3.137,5.27,0.940170595,1
TOI-700 d,1,4,37.42396,0.1633,1.073,1.25,3459,0.42,0.42,-1.64,4.81,0.834689375,1
Kepler-1649 c,1,2,19.53527,0.0649,1.06,1.2,3240,0.23,0.2,-2.287,5,0.794303986,1
TRAPPIST-1 d,1,7,4.049219,0.02227,0.788,0.388,2566,0.12,0.09,-3.257,5.24,0.889599415,1
LP 890-9 c,1,2,8.457463,0.03984,1.367,25.3,2850,0.16,0.12,-2.841,5.13,0.821844982,1
Proxima Cen b,3,1,11.1868,0.04856,1.03,1.07,2900,0.14,0.12,-2.796,5.16,0.749780245,1
K2-72 e,1,4,24.158868,0.106,1.29,2.21,3360.47,0.33,0.27,-1.837,5.05,0.900026972,1
GJ 1002 b,1,2,10.3465,0.0457,1.03,1.08,3024,0.14,0.12,-2.852,5.1,0.759196695,1
GJ 1061 d,1,3,13.031,0.054,1.16,1.64,2953,0.16,0.12,-2.77,5.16,0.720640726,1
GJ 1061 c,1,3,6.689,0.035,1.18,1.74,2953,0.16,0.12,-2.77,5.16,0.940766848,1
Ross 128 b,1,1,9.8658,0.0496,1.11,1.4,3192,0.2,0.17,-2.441,5.05,0.962812179,1
GJ 273 b,1,2,18.6498,0.091101,1.51,2.89,3382,0.29,0.29,-2.056,4.91,0.831562019,1
Kepler-296 e,2,5,34.14211,0.169,1.53,2.96,3740,0.48,0.5,-1.569,4.77,0.85134411,1
TRAPPIST-1 e,1,7,6.101013,0.02925,0.92,0.692,2566,0.12,0.09,-3.257,5.24,0.748268433,1
Kepler-442 b,1,1,112.3053,0.409,1.34,2.36,4402,0.6,0.61,-0.932,4.67,0.734084311,1
GJ 667 C f,3,5,39.026,0.156,1.45,2.7,3350,,0.33,-1.863,4.69,0.74,1
Kepler-62 f,1,5,267.291,0.718,1.41,35,4925,0.64,0.69,-0.678,4.68,0.640871223,1
TRAPPIST-1 f,1,7,9.20754,0.03849,1.045,1.039,2566,0.12,0.09,-3.257,5.24,0.594881425,1
Teegarden's Star c,1,2,11.409,0.0443,1.04,1.11,2904,0.11,0.09,-3.137,5.27,0.594942985,1
Kepler-1229 b,1,1,86.828989,0.3006,1.4,2.54,3784,0.51,0.54,-1.533,4.75,0.662599261,1
Kepler-186 f,1,5,129.9441,0.432,1.17,1.71,3755,0.52,0.54,-1.26,4.74,0.544935852,1
GJ 667 C e,3,5,62.24,0.213,1.45,2.7,3350,,0.33,-1.863,4.69,0.6,1
GJ 1002 c,1,2,21.202,0.0738,1.1,1.36,3024,0.14,0.12,-2.852,5.1,0.518546839,1
TRAPPIST-1 g,1,7,12.352446,0.04683,1.129,1.321,2566,0.12,0.09,-3.257,5.24,0.51047671,1
Kepler-452 b,1,1,384.843,1.046,1.63,3.29,5757,1.11,1.04,0.084,4.32,0.814758613,1
Kepler-62 e,1,5,122.3874,0.427,1.61,36,4925,0.64,0.69,-0.678,4.68,0.834712592,1
Kepler-1652 b,1,1,38.09722,0.1654,1.6,3.19,3638,0.38,0.4,-1.638,4.88,0.757441837,1
Wolf 1061 c,1,3,17.8719,0.089,1.66,3.41,3342,0.31,0.29,-1.991,4.9,0.823805249,1
Kepler-1410 b,1,1,60.866168,0.2543,1.78,3.82,4092,0.6,0.63,-1.158,4.67,0.782997372,1
GJ 667 C c,3,5,28.14,0.125,1.77,3.8,3350,,0.33,-1.863,4.69,0.8,1
Kepler-1544 b,1,1,168.811174,0.5421,1.78,3.82,4886,0.74,0.81,-0.606,4.61,0.737837243,1
Kepler-283 c,1,2,92.743711,0.341,1.82,3.97,4351,0.57,0.6,-0.983,4.72,0.758979289,1
Ross 508 b,1,1,10.77,0.05366,1.83,4,3071,0.21,0.18,-2.445,5.04,0.77,1
Kepler-1638 b,1,1,259.33683,0.745,1.87,4.16,5710,0.95,0.97,-0.114,4.47,0.678178218,1
Kepler-440 b,1,1,101.11141,0.242,1.86,4.12,4134,0.56,0.57,-1.102,4.71,0.782776369,1
GJ 433 d,1,3,36.059,0.178,2.14,5.223,3461,0.47,0.48,-1.475,4.76,0.74,1
Kepler-1653 b,1,1,140.2524,0.4706,2.17,5.35,4807,0.69,0.72,-0.636,4.62,0.714770495,1
Kepler-705 b,1,1,56.0560538,0.232,2.11,5.1,3722,0.51,0.53,-1.385,4.75,0.669506547,1
