Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
TRAPPIST-1 e,6.099615,0.02817,0.085,0.62,0.918,4.4,251,0.66,12.1,2559,,-3.281,0.08,0.12,1
Proxima Cen b,11.186,0.0485,0.35,1.27,1.08,5.54,234,0.65,1.29,3050,,-2.81,0.12,0.14,1
Kepler-1229 b,86.828989,0.3006,,2.54,1.4,6.13,212,0.52,236,3784,4.75,-1.177,0.54,0.51,1
GJ 667 C f,39.026,0.156,0.03,2.7,1.45,4.87,,,6.8,3350,4.69,-1.863,0.33,,1
Kepler-442 b,112.3053,0.409,0.04,2.36,1.34,5.39,,0.66,342,4402,4.67,-0.932,0.61,0.6,1
GJ 667 C e,62.24,0.213,0.02,2.7,1.45,4.87,,,6.8,3350,4.69,-1.863,0.33,,1
TRAPPIST-1 f,9.20669,0.0371,0.063,0.68,1.045,3.3,219,0.38,12.1,2559,,-3.281,0.08,0.12,1
Kepler-62 f,267.291,0.718,,35,1.41,,208,0.48,368,4925,4.68,-0.678,0.69,0.64,1
TRAPPIST-1 g,12.35294,0.0451,0.061,1.34,1.127,5.2,199,0.26,12.1,2559,,-3.281,0.08,0.12,1
Kepler-186 f,129.9441,0.432,0.04,1.71,1.17,5.87,,0.3,172,3755,4.74,-1.26,0.54,0.52,1
K2-72 e,24.158868,0.106,0.11,2.21,1.29,5.66,,1.2,66.56,3360.47,5.05,-1.9,0.27,0.33,1
GJ 3323 b,5.3636,0.03282,0.23,2.02,1.23,5.96,,2.58,5.32,3159,,-2.569,0.16,0.12,1
TRAPPIST-1 d,4.04961,0.02144,0.07,0.41,0.772,4.9,288,1.14,12.1,2559,,-3.281,0.08,0.12,1
GJ 273 b,18.6498,0.091101,0.1,2.89,1.51,4.61,,1.06,3.8,3382,,-2.056,0.29,0.29,1
Kepler-452 b,384.843,1.046,,3.29,1.63,4.17,265,1.1,548,5757,4.32,0.02,1.04,1.11,1
Kepler-62 e,122.3874,0.427,,36,1.61,,270,1.35,368,4925,4.68,-0.678,0.69,0.64,1
Kepler-1652 b,38.09722,0.1654,,3.19,1.6,9.9,268,0.81,252,3638,4.88,-1.638,0.4,0.38,1
Kepler-1544 b,168.811174,0.5421,,3.82,1.78,2.9,269,0.83,349,4886,4.61,-0.636,0.81,0.74,1
K2-3 d,44.55983,0.2076,0.045,7.5,1.51,17.5,282,1.5,44.13,3896,4.72,-1.19,0.6,0.56,1
Kepler-296 e,34.14211,0.169,0.33,2.96,1.53,4.1,337,1.41,226,3740,4.77,-1.509,0.5,0.48,1
Wolf 1061 c,17.8719,0.089,0.11,3.41,1.66,4.1,,1.3,4.31,3342,,-1.991,0.29,0.31,1
Kepler-283 c,92.743711,0.341,,3.97,1.82,3.62,,0.95,453,4351,4.72,-0.98,0.63,0.57,1
GJ 667 C c,28.14,0.125,0.02,3.8,1.77,3.77,,,6.8,3350,4.69,-1.863,0.33,,1
Kepler-1410 b,60.866168,0.2543,,3.82,1.78,4.63,290,1.06,367,4092,4.67,-1.158,0.63,0.6,1
Kepler-1638 b,259.33683,0.745,,4.16,1.87,0.56,304,2.76,879,5710,4.47,0.391,0.97,0.95,1
Kepler-296 f,63.33627,0.255,0.33,3.89,1.8,3.2,274,0.62,226,3740,4.77,-1.509,0.5,0.48,1
Kepler-705 b,56.0560538,0.232,,5.1,2.11,5.55,265,0.73,251,3722,4.75,-1.289,0.53,0.51,1
Kepler-440 b,101.11141,0.242,0.34,4.12,1.86,3.52,,1.2,261,4134,4.71,-1.102,0.57,0.56,1
Kepler-1653 b,140.2524,0.4706,,5.35,2.17,3.08,284,0.98,755,4807,4.62,-0.636,0.72,0.69,1
tau Cet e,162.87,0.538,0.18,3.93,1.81,3.64,,,3.6,5310,4.52,-0.305,0.78,0.83,1
GJ 832 c,35.68,0.163,0.18,5.4,2.18,2.86,,,4.97,3472,4.7,-1.585,0.45,0.45,1
Kepler-1606 b,196.435224,0.6421,,4.94,2.07,1.67,324,1.29,880,5422,4.53,-0.292,0.9,0.86,1
Kepler-1090 b,198.680179,,,5.69,2.25,2.74,,1.82,702,5321,4.55,-0.194,0.86,0.82,1
Kepler-61 b,59.87756,0.24861,0.25,5.27,2.15,2.91,273,1.69,314,4017,4.67,-0.923,0.64,0.62,1
Kepler-443 b,177.6693,0.495,0.11,6.04,2.33,2.62,,0.86,779,4723,4.61,-0.664,0.74,0.71,1
Kepler-22 b,289.8623,0.849,0,36,2.38,14.7,262,0.96,190,5518,4.44,-0.102,0.97,0.98,1
K2-18 b,32.93963,0.143,0.43,7.96,2.38,3.3,235,1.05,34,3457,4.86,-1.66,0.36,0.41,1
K2-9 b,18.4498,0.091,,5.69,2.25,2.74,314,1.36,83.16,3390,4.82,-1.921,0.3,0.31,1
Kepler-26 e,46.827915,0.22,,6.39,2.41,2.51,,1.75,339,3914,4.68,-1.033,0.54,0.51,1
Kepler-1552 b,184.771853,,,6.66,2.47,2.43,,1.85,618,5202,4.58,-0.264,0.85,0.78,1
Kepler-1540 b,125.4131177,,,6.76,2.49,2.41,,0.85,262,4540,4.63,-0.835,0.74,0.69,1
LHS 1140 b,24.736959,0.0936,0.06,6.98,1.727,7.5,235,0.5,12.47,3216,,-2.356,0.18,0.21,1
Kepler-1632 b,448.303558,,,6.66,2.47,2.43,,6.06,584,6137,4.33,0.373,1.12,1.19,1
HD 40307 g,197.8,0.6,0.29,7.1,2.56,2.33,255,,12.94,4956,4.47,-0.639,0.77,0.71,1
GJ 163 c,25.63058,0.1254,0.099,6.8,2.5,2.39,,,15.14,3500,,-1.708,0.4,0.43,1
Kepler-298 d,77.473633,0.305,,6.8,2.5,2.39,,1.72,504,4465,4.71,-0.804,0.69,0.58,1
K2-288 B b,31.393463,0.164,,4.27,1.9,3.42,226,,65.72,3341,4.96,-1.93,0.33,0.32,1
GJ 3293 d,48.1345,0.19394,0.12,7.6,2.67,2.19,,0.59,20.2,3466,,-1.658,0.42,0.4,1
Kepler-174 d,247.35373,0.677,,5.43,2.19,2.84,,0.53,371,4880,4.68,-0.611,0.71,0.62,1
