Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
11 Com b,326.03,1.29,0.231,6165.6,12.1,19.1,,,93.37,4742,2.31,2.243,2.7,19,0
11 UMi b,516.21997,1.53,0.08,4684.8142,12.3,13.8,,,125.72,4213,1.93,2.43,2.78,29.79,0
14 And b,185.84,0.83,0,1525.5,12.9,3.9,,,75.59,4813,2.63,1.763,2.2,11,0
14 Her b,1773.40002,2.93,0.37,1481.0878,12.9,3.79,,,17.94,5338,4.45,-0.151,0.9,0.93,0
16 Cyg B b,798.5,1.66,0.68,565.7374,13.5,1.26,,,21.41,5750,4.36,0.1,1.08,1.13,0
18 Del b,993.3,2.6,0.08,3273.5,12.5,9.21,,,76.38,4979,2.82,1.602,2.3,8.5,0
1RXS J160929.1-210524 b,,330,,3000,18.647,2.54,1700,,145,4060,,-0.37,0.85,1.18,0
24 Boo b,30.3506,0.19,0.042,289.2253,13.9,0.592,,,96.25,4893,2.42,1.774,0.99,10.64,0
24 Sex b,452.8,1.333,0.09,632.46,13.4,1.44,,,72.21,5098,3.5,1.164,1.54,4.9,0
24 Sex c,883,2.08,0.29,273.32,13.9,0.559,,,72.21,5098,3.5,1.164,1.54,4.9,0
2MASS J01225093-2439505 b,,52,,7786.5,11.209,30.4,1600,,36,3530,,-1.72,0.4,,0
2MASS J02192210-3925225 b,,156,,4417.837,16.141,5.77,,,39.4,3064,4.59,-2.23,0.11,0.28,0
2MASS J04414489+2301513 b,,15,,2383.6,12.6,6.55,,,140,,,,0.02,,0
2MASS J12073346-3932539 b,,46,,1271,13,3.18,1150,,52.4,,,,0.02,,0
2MASS J19383260+4603591 b,416,0.92,,603.877,13.4,1.38,,,396.36,10868,3.91,0.168,0.48,0.34,0
2MASS J21402931+1625183 A b,7336.5,,0.26,6657.48,10.31,33.4,2075,,25,2300,,-3.48,0.08,0.12,0
2MASS J22362452+4751425 b,,230,,3972.875,12.3,11.7,,,74,4045,,-1.021,0.6,0.62,0
30 Ari B b,335.10001,0.99,0.29,4392.4106,12.3,13,,,44.71,6331,4.43,0.381,1.93,1.41,0
4 UMa b,269.3,0.87,0.432,2256.5,12.7,6.05,,,73.58,4415,1.8,2.062,1.23,18.11,0
42 Dra b,479.1,1.19,0.38,1233.13,13,3.08,,,90.86,4200,1.71,2.155,0.98,22.03,0
47 UMa b,1078,2.1,0.032,804.08,13.2,1.92,,,13.8,5892,4.27,0.216,1.03,1.23,0
47 UMa c,2391,3.6,0.098,171.621,14.2,0.329,,,13.8,5892,4.27,0.216,1.03,1.23,0
